CVE,Vendor,Product,Name
CVE-2020-8655,EyesOfNetwork,EyesOfNetwork,EyesOfNetwork 5.3 Privilege Escalation Vulnerability
CVE-2021-35464,ForgeRock,Access Management server,ForgeRock Access Management Remote Code Execution Vulnerability
CVE-2020-16010,Google,Chrome for Android,Google Chrome for Android Heap Overflow Vulnerability
CVE-2020-15999,Google,Chrome,Google Chrome FreeType Memory Corruption
CVE-2021-21166,Google,Chrome,Google Chrome Heap Buffer Overflow in WebAudio Vulnerability
CVE-2020-16017,Google,Chrome,Google Chrome Site Isolation Component Use-After-Free Remote Code Execution vulnerability
CVE-2021-37976,Google,Chrome,Google Chrome Information Leakage
CVE-2020-16009,Google,Chromium V8 Engine,Chromium V8 Implementation Vulnerability
CVE-2021-30632,Google,Chrome,Google Chrome Out-of-bounds write
CVE-2020-16013,Google,Chromium V8 Engine,Chromium V8 Incorrect Implementation Vulnerabililty
CVE-2021-30633,Google,Chrome,Google Chrome Use-After-Free Vulnerability
CVE-2021-21148,Google,Chromium V8 Engine,Chromium V8 JavaScript Rendering Engine Heap Buffer Overflow Vulnerability
CVE-2021-37973,Google,Chrome,Google Chrome Use-After-Free Vulnerability
CVE-2021-30551,Google,Chromium V8 Engine,Chromium V8 Type Confusion Vulnerability
CVE-2021-37975,Google,Chrome,Google Chrome Use-After-Free Vulnerability
CVE-2020-6418,Google,Chromium V8 Engine,Chromium V8 Type Confusion Vulnerability
CVE-2021-30554,Google,Chrome,Google Chrome WebGL Use-After-Free Vulnerability
CVE-2021-21206,Google,Chromium Blink,Chromium Blink Use-After-Free Vulnerability
CVE-2021-38000,Google,Chromium V8 Engine,Google Chromium V8 Insufficient Input Validation Vulnerability
CVE-2021-38003,Google,Chromium V8 Engine,Google Chromium V8 Incorrect Implementation Vulnerability
CVE-2021-21224,Google,Chromium V8 Engine,Chromium V8 JavaScript Engine Remote Code Execution Vulnerability
CVE-2021-21193,Google,Chromium V8 Engine,Chromium V8 Use-After-Free Vulnerability
CVE-2021-21220,Google,Chromium V8 Engine,Chromium V8 Input Validation Vulnerability
CVE-2021-30563,Google,Chrome,Google Chrome Browser V8 Arbitrary Code Execution
CVE-2020-4430,IBM,IBM Data Risk Manager,IBM Data Risk Manager Arbritary File Download
CVE-2020-4427,IBM,IBM Data Risk Manager,IBM Data Risk Manager Authentication Bypass
CVE-2020-4428,IBM,IBM Data Risk Manager,IBM Data Risk Manager Command Injection
CVE-2019-4716,IBM,IBM Planning Analytics,IBM Planning Analytics configuration overwrite vulnerability
CVE-2016-3715,ImageMagick,ImageMagick,ImageMagick Ephemeral Coder Arbitrary File Deletion Vulnerability
CVE-2016-3718,ImageMagick,ImageMagick,ImageMagick SSRF Vulnerability
CVE-2020-15505,Ivanti,MobileIron Core & Connector,MobileIron Core, Connector, Sentry, and RDM Remote Code Execution Vulnerability
CVE-2021-30116,Kaseya,Kaseya VSA,Kaseya VSA Remote Code Execution Vulnerability
CVE-2020-7961,LifeRay,Liferay Portal,Liferay Portal prior to 7.2.1 CE GA2 Remote Code Execution Vulnerability
CVE-2021-23874,McAfee,McAfee Total Protection (MTP),McAfee Total Protection MTP Arbitrary Process Execution
CVE-2021-22506,Micro Focus,Micro Focus Access Manager,Micro Focus Access Manager Earlier Than 5.0 Information Leakage
CVE-2021-22502,Micro Focus,Micro Focus Operation Bridge Reporter (OBR),Micro Focus Operation Bridge Report (OBR) Server Remote Code Execution Vulnerability
CVE-2014-1812,Microsoft,Windows,Microsoft Windows Group Policy Privilege Escalation
CVE-2021-38647,Microsoft,Microsoft Azure Open Management Infrastructure (OMI),Microsoft Azure Open Management Infrastructure (OMI) Remote Code Execution Vulnerability
CVE-2016-0167,Microsoft,Windows,Microsoft Windows Kernel 'Win32k.sys' Local Privilege Escalation Vulnerability
CVE-2020-0878,Microsoft,Microsoft Edge, Internet Explorer,Microsoft Browser Memory Corruption Vulnerability
CVE-2021-31955,Microsoft,Windows,Microsoft Windows Kernel Information Disclosure Vulnerability
CVE-2021-1647,Microsoft,Microsoft Defender,Microsoft Defender Remote Code Execution Vulnerability
CVE-2021-33739,Microsoft,Microsoft Desktop Window Manager (DWM),Microsoft DWM Core Library Privilege Escalation Vulnerability
CVE-2016-0185,Microsoft,Windows,Microsoft Windows Media Center Remote Code Execution vulnerability
CVE-2020-0683,Microsoft,Windows,Microsoft Windows Installer Privilege Escalation Vulnerability
CVE-2020-17087,Microsoft,Windows,Microsoft Windows Kernel Cryptography Driver Privilege Escalation Vulnerability
CVE-2021-33742,Microsoft,Microsoft MSHTML,Microsoft MSHTML Platform Remote Code Execution Vulnerability
CVE-2021-31199,Microsoft,Microsoft Enhanced Cryptographic Provider,Microsoft Enhanced Cryptographic Provider Privilege Escalation Vulnerabilities
CVE-2021-33771,Microsoft,Windows,Microsoft Windows Kernel Privilege Escalation Vulnerability
CVE-2021-31956,Microsoft,Windows,Microsoft Windows NTFS Privilege Escalation Vulnerability
CVE-2021-31201,Microsoft,Microsoft Enhanced Cryptographic Provider,Microsoft Enhanced Cryptographic Provider Privilege Escalation Vulnerabilities
CVE-2021-31979,Microsoft,Windows,Microsoft Windows Kernel Privilege Escalation Vulnerability
CVE-2020-0938,Microsoft,Windows, Windows Adobe Type Manager Library,Microsoft Windows Type 1 Font Parsing Remote Code Execution Vulnerability
CVE-2020-17144,Microsoft,Microsoft Exchange Server,Microsoft Exchange Remote Code Execution Vulnerability
CVE-2020-0986,Microsoft,Windows,Microsoft Windows Kernel Privilege Escalation Vulnerability
CVE-2020-1020,Microsoft,Windows, Windows Adobe Type Manager Library,Microsoft Windows Type 1 Font Parsing Remote Code Execution Vulnerability
CVE-2021-38645,Microsoft,Microsoft Azure Open Management Infrastructure (OMI),Microsoft Azure Open Management Infrastructure (OMI) Privilege Escalation Vulnerability
CVE-2021-34523,Microsoft,Microsoft Exchange Server,Microsoft Exchange Server Privilege Escalation Vulnerability
CVE-2017-7269,Microsoft,Internet Information Services (IIS),Microsft Windows Server 2003 R2 IIS WEBDAV buffer overflow Remote Code Execution vulnerability (COVID-19-CTI list)
CVE-2021-36948,Microsoft,Windows,Microsoft Windows Update Medic Service Privilege Escalation Vulnerability
CVE-2021-38649,Microsoft,Microsoft Azure Open Management Infrastructure (OMI),Microsoft Azure Open Management Infrastructure (OMI) Privilege Escalation Vulnerability
CVE-2020-0688,Microsoft,Microsoft Exchange Server,Microsoft Exchange Server Key Validation Vulnerability
CVE-2017-0143,Microsoft,SMBv1 server,Microsoft Windows SMBv1 Remote Code Execution Vulnerability
CVE-2016-7255,Microsoft,Windows,Microsoft Windows Vista, 7, 8.1, 10 and Windows Server 2008, 2012, and 2016 Win32k Privilege Escalation Vulnerability
CVE-2019-0708,Microsoft,Remote Desktop Services,"BlueKeep" Microsoft Windows Remote Desktop Remote Code Execution Vulnerability
CVE-2021-34473,Microsoft,Microsoft Exchange Server,Microsoft Exchange Server Remote Code Execution Vulnerability
CVE-2020-1464,Microsoft,Windows,Microsoft Windows Spoofing Vulnerability
CVE-2021-1732,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability
CVE-2021-34527,Microsoft,Windows,"PrintNightmare" - Microsoft Windows Print Spooler Remote Code Execution Vulnerability
CVE-2021-31207,Microsoft,Microsoft Exchange Server,Microsoft Exchange Server Security Feature Bypass Vulnerability
CVE-2019-0803,Microsoft,Win32k,Microsoft Win32k Escalation Kernel Vulnerability
CVE-2020-1040,Microsoft,Hyper-V RemoteFX vGPU,Hyper-V RemoteFX vGPU Remote Code Execution Vulnerability
CVE-2021-28310,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability
CVE-2020-1350,Microsoft,Windows,"SigRed" - Microsoft Windows Domain Name System (DNS) Server Remote Code Execution Vulnerability
CVE-2021-26411,Microsoft,Microsoft Edge, Internet Explorer,Microsoft Internet Explorer and Edge Memory Corruption Vulnerability
CVE-2019-0859,Microsoft,Win32k,Microsoft Win32k Escalation Kernel Vulnerability
CVE-2021-40444,Microsoft,Microsoft MSHTML,Microsoft Windows, Server (spec. IE) All Arbitrary Code Execution
CVE-2017-8759,Microsoft,Microsoft .NET Framework,.NET Framework Remote Code Execution vulnerability
CVE-2018-8653,Microsoft,Internet Explorer Scripting Engine,Microsoft Internet Explorer Scripting Engine JScript Memory Corruption Vulnerability
CVE-2019-0797,Microsoft,Win32k,Microsoft Win32k.sys Driver Vulnerability
CVE-2021-36942,Microsoft,Windows,Microsoft Windows Local Security Authority (LSA) Spoofing
CVE-2019-1215,Microsoft,Windows,Microsoft Windows Winsock (ws2ifsl.sys) Vulnerability
CVE-2018-0798,Microsoft,Office,Microsoft Office 2007 - 2016 Backdoor Exploitation Chain
CVE-2018-0802,Microsoft,Office,Microsoft Office 2007 - 2016 Backdoor Exploitation Chain
CVE-2012-0158,Microsoft,MSCOMCTL.OCX,Microsoft MSCOMCTL.OCX Remote Code Execution Vulnerability
CVE-2015-1641,Microsoft,Office,Microsoft Office Memory Corruption vulnerability
CVE-2021-27085,Microsoft,Internet Explorer,Internet Explorer 11 Remote Code Execution Vulnerability
CVE-2019-0541,Microsoft,MSHTML engine,Microsoft MSHTML Engine Remote Code Execution Vulnerability
CVE-2017-11882,Microsoft,Office,Microsoft Office memory corruption vulnerability
CVE-2020-0674,Microsoft,Internet Explorer Scripting Engine,Internet Explorer 9-11 Scripting Engine Memory Corruption Vulnerability
CVE-2021-27059,Microsoft,Office,Microsoft Office Remote Code Execution Vulnerability
CVE-2019-1367,Microsoft,Internet Explorer Scripting Engine,Internet Explorer 9-11 Scripting Engine Memory Corruption Vulnerability
CVE-2017-0199,Microsoft,Windows, Windows Server, Office,Microsoft Office/WordPad Remote Code Execution Vulnerability with Windows API
CVE-2020-1380,Microsoft,Internet Explorer,Scripting Engine Memory Corruption Vulnerability
CVE-2019-1429,Microsoft,Internet Explorer Scripting Engine,Internet Explorer 9-11 Scripting Engine Memory Corruption Vulnerability
CVE-2017-11774,Microsoft,Microsoft Outlook,Microsoft Outlook Security Feature Bypass Vulnerability
CVE-2020-0968,Microsoft,Internet Explorer Scripting Engine,Internet Explorer Scripting Engine Memory Corruption Vulnerability
CVE-2020-1472,Microsoft,Netlogon Remote Protocol (MS-NRPC),NetLogon Privilege Escalation Vulnerability
CVE-2021-26855,Microsoft,Microsoft Exchange Server,Microsoft OWA Exchange Control Panel (ECP) Exploit Chain
CVE-2021-26858,Microsoft,Microsoft Exchange Server,Microsoft OWA Exchange Control Panel (ECP) Exploit Chain
CVE-2021-27065,Microsoft,Microsoft Exchange Server,Microsoft OWA Exchange Control Panel (ECP) Exploit Chain
CVE-2020-1054,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability
CVE-2021-1675,Microsoft,Windows,Microsoft Windows Print Spooler Remote Code Execution Vulnerability
CVE-2021-34448,Microsoft,Scripting Engine,Microsoft Scripting Engine Memory Corruption Vulnerability
CVE-2020-0601,Microsoft,Windows CryptoAPI,Microsoft Windows 10 API/ECC Vulnerability
CVE-2019-0604,Microsoft,SharePoint,Microsoft SharePoint Remote Code Execution Vulnerability
CVE-2020-0646,Microsoft,Microsoft .NET Framework,Microsoft .NET Framework Remote Code Execution Vulnerability
CVE-2019-0808,Microsoft,Windows,Microsoft Windows 7 win32k.sys Driver Vulnerability
CVE-2021-26857,Microsoft,Microsoft Exchange Server,Microsoft Unified Messaging Deserialization Vulnerability
CVE-2020-1147,Microsoft,Microsoft .NET Framework, Microsoft SharePoint, Visual Studio,Microsoft .NET Framework, SharePoint Server, and Visual Studio Remote Code Execution Vulnerability
CVE-2019-1214,Microsoft,Windows,Microsoft Windows Common Log File System (CLFS) Driver Vulnerability
CVE-2016-3235,Microsoft,Microsoft Visio/Office,Microsoft Visio/Office OLE DLL Side Loading vulnerability
CVE-2019-0863,Microsoft,Windows,Microsoft Windows Error Reporting (WER) Vulnerability
CVE-2021-36955,Microsoft,Windows,Microsoft Windows Common Log File System (CLFS) Driver Privilege Escalation Vulnerability
CVE-2021-38648,Microsoft,Microsoft Azure Open Management Infrastructure (OMI),Microsoft Azure Open Management Infrastructure (OMI) Privilege Escalation Vulnerability
CVE-2020-6819,Mozilla,nsDocShell destructor,Mozilla Firefox 74 and Firefox ESR 68.6 nsDocShell vulnerability
CVE-2020-6820,Mozilla,ReadableStream,Mozilla Firefox 74 and Firefox ESR 68.6 ReadableStream vulnerability
CVE-2019-17026,Mozilla,IonMonkey JIT compiler,Mozilla Firefox IonMonkey JIT compiler Type Confusion Vulnerability
CVE-2019-19356,Netis,Netis WF2419,Netis WF2419 Router Tracert Remote Code Execution vulnerability
CVE-2020-2555,Oracle,Oracle Coherence,Oracle Coherence Deserialization Remote Code Execution
CVE-2012-3152,Oracle,Oracle Reports Developer,Oracle Reports Developer Arbitrary File Read and Upload vulnerability
CVE-2020-14871,Oracle,Oracle Solaris,Oracle Solaris Pluggable Authentication Module vulnerability
CVE-2015-4852,Oracle,Oracle WebLogic Server,Oracle WebLogic Server Remote Code Execution Vulnerability
CVE-2020-14750,Oracle,Oracle WebLogic Server,Oracle WebLogic Server Remote Code Execution Vulnerability
CVE-2020-14882,Oracle,Oracle WebLogic Server,Oracle WebLogic Server Remote Code Execution Vulnerability
CVE-2020-14883,Oracle,Oracle WebLogic Server,Oracle WebLogic Server Remote Code Execution Vulnerability
CVE-2020-8644,PlaySMS,PlaySMS,PlaySMS Remote Code Execution Vulnerability
CVE-2019-18935,Progess,ASP.NET AJAX,Progress Telerik UI for ASP.NET deserialization bug
CVE-2021-22893,Pulse Secure,Pulse Connect Secure,Pulse Connect Secure Remote Code Execution Vulnerability
CVE-2020-8243,Pulse Secure,Pulse Connect Secure,Pulse Connect Secure Arbitrary Code Execution
CVE-2021-22900,Pulse Secure,Pulse Connect Secure,Pulse Connect Secure Arbitrary File Upload Vulnerability
CVE-2021-22894,Pulse Secure,Pulse Connect Secure,Pulse Connect Secure Collaboration Suite Remote Code Execution Vulnerability
CVE-2020-8260,Pulse Secure,Pulse Connect Secure,Pulse Connect Secure Remote Code Execution Vulnerability
CVE-2021-22899,Pulse Secure,Pulse Connect Secure,Pulse Connect Secure Remote Code Execution Vulnerability
CVE-2019-11510,Pulse Secure,Pulse Connect Secure,Pulse Connect Secure VPN arbitrary file reading vulnerability (COVID-19-CTI list)
CVE-2019-11539,Pulse Secure,Pulse Connect Secure, Policy Secure,Pulse Connect Secure and Policy Secure Multiple Versions Code Execution
CVE-2020-10221,rConfig,rConfig,rConfig Remote Code Execution Vulnerability
CVE-2021-35395,Realtek,Jungle Software Development Kit (SDK),Realtek SDK Arbitrary Code Execution
CVE-2017-16651,Roundcube,Roundcube Webmail,Roundcube Webmail File Disclosure Vulnerability
CVE-2020-11652,SaltStack,Salt,SaltStack directory traversal failure to sanitize untrusted input
CVE-2020-11651,SaltStack,Salt,SaltStack Salt Authentication Bypass
CVE-2020-16846,SaltStack,Salt,SaltStack Through 3002 Shell Injection Vulnerability
CVE-2018-2380,SAP,SAP CRM,SAP NetWeaver AS JAVA CRM Remote Code Execution Vulnerability
CVE-2010-5326,SAP,SAP NetWeaver Application Server Java platforms,SAP NetWeaver AS JAVA Remote Code Execution Vulnerability
CVE-2016-9563,SAP,SAP NetWeaver AS JAVA,SAP NetWeaver AS JAVA XXE Vulnerability
CVE-2020-6287,SAP,SAP NetWeaver AS JAVA (LM Configuration Wizard),SAP Netweaver JAVA remote unauthenticated access vulnerability
CVE-2020-6207,SAP,SAP Solution Manager (User Experience Monitoring),SAP Solution Manager Missing Authentication Check Complete Compromise of SMD Agents vulnerability
CVE-2016-3976,SAP,SAP NetWeaver AS Java,SAP NetWeaver AS Java 7.1 - 7.5 Directory Traversal Vulnerability
CVE-2019-16256,SIMalliance,SIMalliance Toolbox (S@T) Browser,SIMalliance Toolbox (S@T) Browser Command and Control Vulnerability
CVE-2020-10148,SolarWinds,SolarWinds Orion Platform,SolarWinds Orion API Authentication Bypass Vulnerability
CVE-2021-35211,SolarWinds,SolarWinds nServ-U,SolarWinds Serv-U Remote Memory Escape Vulnerability
CVE-2016-3643,SolarWinds,SolarWinds Virtualization Manager,SolarWinds Virtualization Manager Privilege Escalation Vulnerability
CVE-2020-10199,Sonatype,Sonatype Nexus Repository,Nexus Repository Manager 3 Remote Code Execution Vulnerability
CVE-2021-20021,SonicWall,SonicWall Email Security,SonicWall Email Security Privilege Escalation Exploit Chain
CVE-2019-7481,SonicWall,SMA100,SonicWall SMA100 9.0.0.3 and Earlier SQL Injection
CVE-2021-20022,SonicWall,SonicWall Email Security,SonicWall Email Security Privilege Escalation Exploit Chain
CVE-2021-20023,SonicWall,SonicWall Email Security,SonicWall Email Security Privilege Escalation Exploit Chain
CVE-2021-20016,SonicWall,SonicWall SSLVPN SMA100,SonicWall SSL VPN SMA100 SQL Injection Vulnerability
CVE-2020-12271,Sophos,Sophos XG Firewall devices,Sophos XG Firewall SQL Injection Vulnerability
CVE-2020-10181,Sumavision,Sumavision Enhanced Multimedia Router (EMR),Sumavision EMR 3.0 CSRF Vulnerability
CVE-2017-6327,Symantec,Symantec Messaging Gateway,Symantec Messaging Gateway Remote Code Execution Vulnerability
CVE-2019-18988,TeamViewer,TeamViewer Desktop,TeamViewer Desktop Bypass Remote Login
CVE-2017-9248,Telerik,ASP.NET AJAX and Sitefinity,Telerik UI for ASP.NET AJAX and Progress Sitefinity Cryptographic Weakness Vuln
CVE-2021-31755,Tenda,Tenda AC11 devices,Tenda AC11 Up to 02.03.01.104_CN Stack Buffer Overflow
CVE-2020-10987,Tenda,Tenda AC15 AC1900,Tenda Router Code Execution
CVE-2018-14558,Tenda,Tenda AC7, AC9, and AC10 devices,Tenda Router Command Injection Vulnerability
CVE-2018-20062,ThinkPHP,NoneCms,ThinkPHP Remote Code Execution Vulnerability
CVE-2019-9082,ThinkPHP,ThinkPHP,ThinkPHP Remote Code Execution Vulnerability
CVE-2019-18187,Trend Micro,Trend Micro OfficeScan,Trend Micro Antivirus 0day Traversal Vulnerability
CVE-2020-8467,Trend Micro,Trend Micro Apex One and OfficeScan XG,Trend Micro Apex One (2019) and OfficeScan XG migration tool remote code execution vulnerability
CVE-2020-8468,Trend Micro,Trend Micro Apex One, OfficeScan XG and Worry-Free Business Security,Trend Micro Apex One (2019), OfficeScan XG and Worry-Free Business Security (9.0, 9.5, 10.0) agent content validation escape vulnerability
CVE-2020-24557,Trend Micro,Trend Micro Apex One and Worry-Free Business Security,Trend Micro Apex One and OfficeScan XG Improper Access Control Privilege Escalation Vulnerability
CVE-2020-8599,Trend Micro,Trend Micro Apex One and OfficeScan XG server,Trend Micro Apex One and OfficeScan XG Vulnerability
CVE-2021-36742,Trend Micro,Trend Micro Multiple Products,Trend Micro Systems Multiple Products Buffer Overflow - Arbitrary File Upload
CVE-2021-36741,Trend Micro,Trend Micro Multiple Products,Trend Micro Systems Multiple Products Buffer Overflow - Arbitrary File Upload
CVE-2019-20085,TVT,NVMS-1000,TVT NVMS-1000 Directory Traversal
CVE-2020-5849,Unraid,Unraid,Unraid 6.8.0 Authentication Bypass
CVE-2020-5847,Unraid,Unraid,Unraid 6.8.0 Remote Code Execution Vulnerability
CVE-2019-16759,vBulletin,vBulletin,vBulletin PHP Module Remote Code Execution Vulnerability
CVE-2020-17496,vBulletin,vBulletin,vBulletin PHP Module Remote Code Execution Vulnerability
CVE-2019-5544,VMware,ESXi, Horizon DaaS Appliances,VMware ESXi/Horizon DaaS Appliances Heap-Overwrite Vulnerability
CVE-2020-3992,VMware,ESXi,OpenSLP as used in VMware ESXi
CVE-2020-3950,VMware,VMware Fusion, VMware Remote Console for Mac, and Horizon Client for Mac,VMware Privilege escalation vulnerability
CVE-2021-22005,VMware,vCenter Server,VMware vCenter Server File Upload
CVE-2020-3952,VMware,vCenter Server,VMware vCenter Server Info Disclosure Vulnerability
CVE-2021-21972,VMware,vCenter Server,VMware vCenter Server Remote Code Execution Vulnerability
CVE-2021-21985,VMware,vCenter Server,VMware vCenter Server Remote Code Execution Vulnerability
CVE-2020-4006,VMware,VMware Workspace One Access, Access Connector, Identity Manager, and Identity Manager Connector,VMware Workspace One Access, Access Connector, Identity Manager, and Identity Manager Connector Command Injection vulnerability
CVE-2020-25213,WordPress,File Manager,WordPress File Manager Remote Code Execution Vulnerability
CVE-2020-11738,WordPress,Snap Creek Duplicator,WordPress Snap Creek Duplicator and Duplicator Pro plugins Directory Traversal
CVE-2019-9978,WordPress,Social-Warfare,WordPress Social-Warfare plugin XSS
CVE-2021-27561,Yealink,Device Management Platform,Yealink Device Management Server Pre-Authorization SSRF
CVE-2021-40539,Zoho,ManageEngine ADSelfServicePlus,Zoho Corp. ManageEngine ADSelfService Plus Version 6113 and Earlier Authentication Bypass
CVE-2020-10189,Zoho,ManageEngine Desktop Central,Zoho ManageEngine Desktop Central Remote Code Execution Vulnerability
CVE-2019-8394,Zoho,ManageEngine ServiceDesk Plus (SDP),Zoho ManageEngine ServiceDesk Plus Arbitrary File Upload Vulnerability
CVE-2020-29583,ZyXEL,Unified Security Gateway (USG),ZyXEL Unified Security Gateway Undocumented Administrator Account with Default Credentials
CVE-2021-22204,Perl,Exiftool,ExifTool Remote Code Execution Vulnerability
CVE-2021-40449,Microsoft,Windows,Microsoft Windows Win32k Privilege Escalation Vulnerability
CVE-2021-42321,Microsoft,Exchange,Microsoft Exchange Server Remote Code Execution Vulnerability
CVE-2021-42292,Microsoft,Office,Microsoft Excel Security Feature Bypass
CVE-2020-11261,Qualcomm,Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables,Qualcomm Multiple Chipsets Improper Input Validation Vulnerability
CVE-2018-14847,MikroTik,RouterOS,MikroTik Router OS Directory Traversal Vulnerability
CVE-2021-37415,Zoho,ManageEngine ServiceDesk Plus (SDP),Zoho ManageEngine ServiceDesk Authentication Bypass Vulnerability
CVE-2021-40438,Apache,Apache,Apache HTTP Server-Side Request Forgery (SSRF)
CVE-2021-44077,Zoho,ManageEngine ServiceDesk Plus (SDP) / SupportCenter Plus,Zoho ManageEngine ServiceDesk Plus Remote Code Execution Vulnerability
CVE-2021-44515,Zoho,Desktop Central,Zoho Desktop Central Authentication Bypass Vulnerability
CVE-2019-13272,Linux,Kernel,Linux Kernel Improper Privilege Management Vulnerability
CVE-2021-35394,Realtek,Jungle Software Development Kit (SDK),Realtek Jungle SDK Remote Code Execution Vulnerability
