CVE,Vendor,Product,Name
CVE-2020-0688,Microsoft,Microsoft Exchange Server,Microsoft Exchange Server Key Validation Vulnerability
CVE-2017-0143,Microsoft,SMBv1 server,Microsoft Windows SMBv1 Remote Code Execution Vulnerability
CVE-2016-7255,Microsoft,Windows,Microsoft Windows Vista, 7, 8.1, 10 and Windows Server 2008, 2012, and 2016 Win32k Privilege Escalation Vulnerability
CVE-2019-0708,Microsoft,Remote Desktop Services,"BlueKeep" Microsoft Windows Remote Desktop Remote Code Execution Vulnerability
CVE-2021-34473,Microsoft,Microsoft Exchange Server,Microsoft Exchange Server Remote Code Execution Vulnerability
CVE-2020-1464,Microsoft,Windows,Microsoft Windows Spoofing Vulnerability
CVE-2021-1732,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability
CVE-2021-34527,Microsoft,Windows,"PrintNightmare" - Microsoft Windows Print Spooler Remote Code Execution Vulnerability
CVE-2021-31207,Microsoft,Microsoft Exchange Server,Microsoft Exchange Server Security Feature Bypass Vulnerability
CVE-2019-0803,Microsoft,Win32k,Microsoft Win32k Escalation Kernel Vulnerability
CVE-2020-1040,Microsoft,Hyper-V RemoteFX vGPU,Hyper-V RemoteFX vGPU Remote Code Execution Vulnerability
CVE-2021-28310,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability
CVE-2020-1350,Microsoft,Windows,"SigRed" - Microsoft Windows Domain Name System (DNS) Server Remote Code Execution Vulnerability
CVE-2021-26411,Microsoft,Microsoft Edge, Internet Explorer,Microsoft Internet Explorer and Edge Memory Corruption Vulnerability
CVE-2019-0859,Microsoft,Win32k,Microsoft Win32k Escalation Kernel Vulnerability
CVE-2021-40444,Microsoft,Microsoft MSHTML,Microsoft Windows, Server (spec. IE) All Arbitrary Code Execution
CVE-2017-8759,Microsoft,Microsoft .NET Framework,.NET Framework Remote Code Execution vulnerability
CVE-2018-8653,Microsoft,Internet Explorer Scripting Engine,Microsoft Internet Explorer Scripting Engine JScript Memory Corruption Vulnerability
CVE-2019-0797,Microsoft,Win32k,Microsoft Win32k.sys Driver Vulnerability
CVE-2021-36942,Microsoft,Windows,Microsoft Windows Local Security Authority (LSA) Spoofing
CVE-2019-1215,Microsoft,Windows,Microsoft Windows Winsock (ws2ifsl.sys) Vulnerability
CVE-2018-0798,Microsoft,Office,Microsoft Office 2007 - 2016 Backdoor Exploitation Chain
CVE-2018-0802,Microsoft,Office,Microsoft Office 2007 - 2016 Backdoor Exploitation Chain
CVE-2012-0158,Microsoft,MSCOMCTL.OCX,Microsoft MSCOMCTL.OCX Remote Code Execution Vulnerability
CVE-2015-1641,Microsoft,Office,Microsoft Office Memory Corruption vulnerability
CVE-2021-27085,Microsoft,Internet Explorer,Internet Explorer 11 Remote Code Execution Vulnerability
CVE-2019-0541,Microsoft,MSHTML engine,Microsoft MSHTML Engine Remote Code Execution Vulnerability
CVE-2017-11882,Microsoft,Office,Microsoft Office memory corruption vulnerability
CVE-2020-0674,Microsoft,Internet Explorer Scripting Engine,Internet Explorer 9-11 Scripting Engine Memory Corruption Vulnerability
CVE-2021-27059,Microsoft,Office,Microsoft Office Remote Code Execution Vulnerability
CVE-2019-1367,Microsoft,Internet Explorer Scripting Engine,Internet Explorer 9-11 Scripting Engine Memory Corruption Vulnerability
CVE-2017-0199,Microsoft,Windows, Windows Server, Office,Microsoft Office/WordPad Remote Code Execution Vulnerability with Windows API
CVE-2020-1380,Microsoft,Internet Explorer,Scripting Engine Memory Corruption Vulnerability
CVE-2019-1429,Microsoft,Internet Explorer Scripting Engine,Internet Explorer 9-11 Scripting Engine Memory Corruption Vulnerability
CVE-2017-11774,Microsoft,Microsoft Outlook,Microsoft Outlook Security Feature Bypass Vulnerability
CVE-2020-0968,Microsoft,Internet Explorer Scripting Engine,Internet Explorer Scripting Engine Memory Corruption Vulnerability
CVE-2020-1472,Microsoft,Netlogon Remote Protocol (MS-NRPC),NetLogon Privilege Escalation Vulnerability
CVE-2021-26855,Microsoft,Microsoft Exchange Server,Microsoft OWA Exchange Control Panel (ECP) Exploit Chain
CVE-2021-26858,Microsoft,Microsoft Exchange Server,Microsoft OWA Exchange Control Panel (ECP) Exploit Chain
CVE-2021-27065,Microsoft,Microsoft Exchange Server,Microsoft OWA Exchange Control Panel (ECP) Exploit Chain
CVE-2020-1054,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability
CVE-2021-1675,Microsoft,Windows,Microsoft Windows Print Spooler Remote Code Execution Vulnerability
CVE-2021-34448,Microsoft,Scripting Engine,Microsoft Scripting Engine Memory Corruption Vulnerability
CVE-2020-0601,Microsoft,Windows CryptoAPI,Microsoft Windows 10 API/ECC Vulnerability
CVE-2019-0604,Microsoft,SharePoint,Microsoft SharePoint Remote Code Execution Vulnerability
CVE-2020-0646,Microsoft,Microsoft .NET Framework,Microsoft .NET Framework Remote Code Execution Vulnerability
CVE-2019-0808,Microsoft,Windows,Microsoft Windows 7 win32k.sys Driver Vulnerability
CVE-2021-26857,Microsoft,Microsoft Exchange Server,Microsoft Unified Messaging Deserialization Vulnerability
CVE-2020-1147,Microsoft,Microsoft .NET Framework, Microsoft SharePoint, Visual Studio,Microsoft .NET Framework, SharePoint Server, and Visual Studio Remote Code Execution Vulnerability
CVE-2019-1214,Microsoft,Windows,Microsoft Windows Common Log File System (CLFS) Driver Vulnerability
CVE-2016-3235,Microsoft,Microsoft Visio/Office,Microsoft Visio/Office OLE DLL Side Loading vulnerability
CVE-2019-0863,Microsoft,Windows,Microsoft Windows Error Reporting (WER) Vulnerability
CVE-2021-36955,Microsoft,Windows,Microsoft Windows Common Log File System (CLFS) Driver Privilege Escalation Vulnerability
CVE-2021-38648,Microsoft,Microsoft Azure Open Management Infrastructure (OMI),Microsoft Azure Open Management Infrastructure (OMI) Privilege Escalation Vulnerability
CVE-2020-6819,Mozilla,nsDocShell destructor,Mozilla Firefox 74 and Firefox ESR 68.6 nsDocShell vulnerability
CVE-2020-6820,Mozilla,ReadableStream,Mozilla Firefox 74 and Firefox ESR 68.6 ReadableStream vulnerability
CVE-2019-17026,Mozilla,IonMonkey JIT compiler,Mozilla Firefox IonMonkey JIT compiler Type Confusion Vulnerability
CVE-2020-10148,SolarWinds,SolarWinds Orion Platform,SolarWinds Orion API Authentication Bypass Vulnerability
CVE-2021-35211,SolarWinds,SolarWinds nServ-U,SolarWinds Serv-U Remote Memory Escape Vulnerability
CVE-2016-3643,SolarWinds,SolarWinds Virtualization Manager,SolarWinds Virtualization Manager Privilege Escalation Vulnerability
CVE-2019-5544,VMware,ESXi, Horizon DaaS Appliances,VMware ESXi/Horizon DaaS Appliances Heap-Overwrite Vulnerability
CVE-2020-3992,VMware,ESXi,OpenSLP as used in VMware ESXi
CVE-2020-3950,VMware,VMware Fusion, VMware Remote Console for Mac, and Horizon Client for Mac,VMware Privilege escalation vulnerability
CVE-2021-22005,VMware,vCenter Server,VMware vCenter Server File Upload
CVE-2020-3952,VMware,vCenter Server,VMware vCenter Server Info Disclosure Vulnerability
CVE-2021-21972,VMware,vCenter Server,VMware vCenter Server Remote Code Execution Vulnerability
CVE-2021-21985,VMware,vCenter Server,VMware vCenter Server Remote Code Execution Vulnerability
CVE-2020-4006,VMware,VMware Workspace One Access, Access Connector, Identity Manager, and Identity Manager Connector,VMware Workspace One Access, Access Connector, Identity Manager, and Identity Manager Connector Command Injection vulnerability
CVE-2021-40449,Microsoft,Windows,Microsoft Windows Win32k Privilege Escalation Vulnerability
CVE-2021-42321,Microsoft,Exchange,Microsoft Exchange Server Remote Code Execution Vulnerability
CVE-2021-42292,Microsoft,Office,Microsoft Excel Security Feature Bypass
CVE-2021-40438,Apache,Apache,Apache HTTP Server-Side Request Forgery (SSRF)
CVE-2019-0193,Apache,Solr,Apache Solr DataImportHandler Code Injection Vulnerability
CVE-2021-44228,Apache,Log4j2,Apache Log4j2 Remote Code Execution Vulnerability
CVE-2021-43890,Microsoft,Windows,Microsoft Windows AppX Installer Spoofing Vulnerability
CVE-2021-4102,Google,Chromium V8 Engine,Google Chromium V8 Use-After-Free Vulnerability
CVE-2021-22017,VMware,vCenter Server,VMware vCenter Server Improper Access Control
CVE-2020-6572,Google,Chrome,Google Chrome Prior to 81.0.4044.92 Use-After-Free Vulnerability
CVE-2019-1458,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability
CVE-2013-3900,Microsoft,WinVerifyTrust function,Microsoft WinVerifyTrust function Remote Code Execution
CVE-2021-33766,Microsoft,Exchange Server,Microsoft Exchange Server Information Disclosure
CVE-2021-21975,VMware,vRealize Operations Manager API,VMware Server Side Request Forgery in vRealize Operations Manager API
CVE-2020-11978,Apache,Airflow,Apache Airflow Command Injection
CVE-2020-13927,Apache,Airflow's Experimental API,Apache Airflow's Experimental API Authentication Bypass
CVE-2006-1547,Apache,Struts 1,Apache Struts 1 ActionForm Denial-of-Service Vulnerability
CVE-2012-0391,Apache,Struts 2,Apache Struts 2 Improper Input Validation Vulnerability
CVE-2018-8453,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability
CVE-2021-35247,SolarWinds,Serv-U,SolarWinds Serv-U Improper Input Validation Vulnerability
CVE-2020-0787,Microsoft,Windows,Microsoft Windows Background Intelligent Transfer Service (BITS) Improper Privilege Management Vulnerability
CVE-2017-5689,Intel,Active Management Technology (AMT), Small Business Technology (SBT), and Standard Manageability,Intel Active Management Technology (AMT), Small Business Technology (SBT), and Standard Manageability Privilege Escalation Vulnerability
CVE-2014-1776,Microsoft,Internet Explorer,Microsoft Internet Explorer Use-After-Free Vulnerability
CVE-2022-21882,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability
CVE-2021-36934,Microsoft,Windows,Microsoft Windows SAM Local Privilege Escalation Vulnerability
CVE-2020-0796,Microsoft,SMBv3,Microsoft SMBv3 Remote Code Execution Vulnerability
CVE-2017-9791,Apache,Struts 1,Apache Struts 1 Improper Input Validation Vulnerability
CVE-2017-8464,Microsoft,Windows,Microsoft Windows Shell (.lnk) Remote Code Execution Vulnerability
CVE-2017-0263,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability
CVE-2017-0262,Microsoft,Office,Microsoft Office Remote Code Execution Vulnerability
CVE-2017-0145,Microsoft,SMBv1,Microsoft SMBv1 Remote Code Execution Vulnerability
CVE-2017-0144,Microsoft,SMBv1,Microsoft SMBv1 Remote Code Execution Vulnerability
CVE-2016-3088,Apache,ActiveMQ,Apache ActiveMQ Improper Input Validation Vulnerability
CVE-2015-1635,Microsoft,HTTP.sys,Microsoft HTTP.sys Remote Code Execution Vulnerability
CVE-2022-24086,Adobe,Commerce and Magento Open Source,Adobe Commerce and Magento Open Source Improper Input Validation Vulnerability
CVE-2022-0609,Google,Chrome,Google Chrome Use-After-Free Vulnerability
CVE-2019-0752,Microsoft,Internet Explorer,Microsoft Internet Explorer Type Confusion Vulnerability
CVE-2018-8174,Microsoft,Windows,Microsoft Windows VBScript Engine Out-of-Bounds Write Vulnerability
CVE-2018-15982,Adobe,Flash Player,Adobe Flash Player Use-After-Free Vulnerability
CVE-2014-1761,Microsoft,Word,Microsoft Word Memory Corruption Vulnerability
CVE-2013-3906,Microsoft,Graphics Component,Microsoft Graphics Component Memory Corruption Vulnerability
CVE-2017-8570,Microsoft,Office,Microsoft Office Remote Code Execution Vulnerability
CVE-2017-0222,Microsoft,Internet Explorer,Microsoft Internet Explorer Remote Code Execution Vulnerability
CVE-2014-6352,Microsoft,Windows,Microsoft Windows Code Injection Vulnerability
CVE-2021-41379,Microsoft,Windows,Microsoft Windows Installer Privilege Escalation Vulnerability
CVE-2020-1938,Apache,Tomcat,Apache Tomcat Improper Privilege Management Vulnerability
CVE-2019-1297,Microsoft,Excel,Microsoft Excel Remote Code Execution Vulnerability
CVE-2018-8581,Microsoft,Exchange Server,Microsoft Exchange Server Privilege Escalation Vulnerability
CVE-2017-8540,Microsoft,Malware Protection Engine,Microsoft Malware Protection Engine Improper Restriction of Operations Vulnerability
CVE-2017-11826,Microsoft,Office,Microsoft Office Remote Code Execution Vulnerability
CVE-2017-11292,Adobe,Flash Player,Adobe Flash Player Type Confusion Vulnerability
CVE-2017-0261,Microsoft,Office,Microsoft Office Use-After-Free Vulnerability
CVE-2017-0001,Microsoft,Graphics Device Interface (GDI),Microsoft Graphics Device Interface (GDI) Privilege Escalation Vulnerability
CVE-2016-7855,Adobe,Flash Player,Adobe Flash Player Use-After-Free Vulnerability
CVE-2016-7262,Microsoft,Excel,Microsoft Office Security Feature Bypass Vulnerability
CVE-2016-7193,Microsoft,Office,Microsoft Office Memory Corruption Vulnerability
CVE-2016-4117,Adobe,Flash Player,Adobe Flash Player Arbitrary Code Execution Vulnerability
CVE-2016-1019,Adobe,Flash Player,Adobe Flash Player Arbitrary Code Execution Vulnerability
CVE-2016-0099,Microsoft,Windows,Microsoft Windows Secondary Logon Service Privilege Escalation Vulnerability
CVE-2015-7645,Adobe,Flash Player,Adobe Flash Player Arbitrary Code Execution Vulnerability
CVE-2015-5119,Adobe,Flash Player,Adobe Flash Player Use-After-Free Vulnerability
CVE-2015-3043,Adobe,Flash Player,Adobe Flash Player Memory Corruption Vulnerability
CVE-2015-2545,Microsoft,Office,Microsoft Office Malformed EPS File Vulnerability
CVE-2015-2424,Microsoft,PowerPoint,Microsoft PowerPoint Memory Corruption Vulnerability
CVE-2015-2387,Microsoft,ATM Font Driver,Microsoft ATM Font Driver Privilege Escalation Vulnerability
CVE-2015-1701,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability
CVE-2015-1642,Microsoft,Office,Microsoft Office Memory Corruption Vulnerability
CVE-2014-4114,Microsoft,Windows,Microsoft Windows Object Linking & Embedding (OLE) Remote Code Execution Vulnerability
CVE-2014-0496,Adobe,Reader and Acrobat,Adobe Reader and Acrobat Use-After-Free Vulnerability
CVE-2013-5065,Microsoft,Windows,Microsoft Windows Kernel Privilege Escalation Vulnerability
CVE-2013-3897,Microsoft,Internet Explorer,Microsoft Internet Explorer Use-After-Free Vulnerability
CVE-2013-3346,Adobe,Reader and Acrobat,Adobe Reader and Acrobat Memory Corruption Vulnerability
CVE-2013-1675,Mozilla,Firefox,Mozilla Firefox Information Disclosure Vulnerability
CVE-2013-1347,Microsoft,Internet Explorer,Microsoft Internet Explorer Remote Code Execution Vulnerability
CVE-2013-0641,Adobe,Reader,Adobe Reader Buffer Overflow Vulnerability
CVE-2013-0640,Adobe,Reader and Acrobat,Adobe Reader and Acrobat Memory Corruption Vulnerability
CVE-2013-0632,Adobe,ColdFusion,Adobe ColdFusion Authentication Bypass Vulnerability
CVE-2012-1856,Microsoft,Office,Microsoft Office MSCOMCTL.OCX Remote Code Execution Vulnerability
CVE-2012-1535,Adobe,Flash Player,Adobe Flash Player Arbitrary Code Execution Vulnerability
CVE-2011-1889,Microsoft,Forefront Threat Management Gateway (TMG),Microsoft Forefront TMG Remote Code Execution Vulnerability
CVE-2011-0611,Adobe,Flash Player,Adobe Flash Player Remote Code Execution Vulnerability
CVE-2010-3333,Microsoft,Office,Microsoft Office Stack-based Buffer Overflow Vulnerability
CVE-2010-0232,Microsoft,Windows,Microsoft Windows Kernel Exception Handler Vulnerability
CVE-2010-0188,Adobe,Reader and Acrobat,Adobe Reader and Acrobat Arbitrary Code Execution Vulnerability
CVE-2009-3129,Microsoft,Excel,Microsoft Excel Featheader Record Memory Corruption Vulnerability
CVE-2009-1123,Microsoft,Windows,Microsoft Windows Improper Input Validation Vulnerability
CVE-2008-2992,Adobe,Acrobat and Reader,Adobe Reader and Acrobat Input Validation Vulnerability
CVE-2004-0210,Microsoft,Windows,Microsoft Windows Privilege Escalation Vulnerability
CVE-2002-0367,Microsoft,Windows,Microsoft Windows Privilege Escalation Vulnerability
CVE-2022-26486,Mozilla,Firefox,Mozilla Firefox Use-After-Free Vulnerability
CVE-2022-26485,Mozilla,Firefox,Mozilla Firefox Use-After-Free Vulnerability
CVE-2021-21973,VMware,vCenter Server and Cloud Foundation,VMware vCenter Server and Cloud Foundation Server Side Request Forgery (SSRF) Vulnerability
CVE-2013-0631,Adobe,ColdFusion,Adobe ColdFusion Information Disclosure Vulnerability
CVE-2013-0629,Adobe,ColdFusion,Adobe ColdFusion Directory Traversal Vulnerability
CVE-2013-0625,Adobe,ColdFusion,Adobe ColdFusion Authentication Bypass Vulnerability
CVE-2009-3960,Adobe,BlazeDS,Adobe BlazeDS Information Disclosure Vulnerability
CVE-2019-1405,Microsoft,Windows,Microsoft Windows Universal Plug and Play (UPnP) Service Privilege Escalation Vulnerability
CVE-2019-1322,Microsoft,Windows,Microsoft Windows Privilege Escalation Vulnerability
CVE-2019-1315,Microsoft,Windows,Microsoft Windows Error Reporting Manager Privilege Escalation Vulnerability
CVE-2019-1253,Microsoft,Windows,Microsoft Windows AppX Deployment Server Privilege Escalation Vulnerability
CVE-2019-1132,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability
CVE-2019-1129,Microsoft,Windows,Microsoft Windows AppX Deployment Service (AppXSVC) Privilege Escalation Vulnerability
CVE-2019-1069,Microsoft,Task Scheduler,Microsoft Task Scheduler Privilege Escalation Vulnerability
CVE-2019-1064,Microsoft,Windows,Microsoft Windows AppX Deployment Service (AppXSVC) Privilege Escalation Vulnerability
CVE-2019-0841,Microsoft,Windows,Microsoft Windows AppX Deployment Service (AppXSVC) Privilege Escalation Vulnerability
CVE-2019-0543,Microsoft,Windows,Microsoft Windows Privilege Escalation Vulnerability
CVE-2018-8120,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability
CVE-2017-0101,Microsoft,Windows,Microsoft Windows Transaction Manager Privilege Escalation Vulnerability
CVE-2016-3309,Microsoft,Windows,Microsoft Windows Kernel Privilege Escalation Vulnerability
CVE-2015-2546,Microsoft,Win32k,Microsoft Win32k Memory Corruption Vulnerability
CVE-2022-21999,Microsoft,Windows,Microsoft Windows Print Spooler Privilege Escalation Vulnerability
CVE-2020-1956,Apache,Kylin,Apache Kylin OS Command Injection Vulnerability
CVE-2019-0903,Microsoft,Graphics Device Interface (GDI),Microsoft GDI Remote Code Execution Vulnerability
CVE-2018-8414,Microsoft,Windows,Microsoft Windows Shell Remote Code Execution Vulnerability
CVE-2018-8373,Microsoft,Internet Explorer Scripting Engine,Microsoft Scripting Engine Memory Corruption Vulnerability
CVE-2018-6961,VMware,SD-WAN Edge,VMware SD-WAN Edge by VeloCloud Command Injection Vulnerability
CVE-2017-12617,Apache,Tomcat,Apache Tomcat Remote Code Execution Vulnerability
CVE-2017-12615,Apache,Tomcat,Apache Tomcat on Windows Remote Code Execution Vulnerability
CVE-2017-0146,Microsoft,Windows,Microsoft Windows SMB Remote Code Execution Vulnerability
CVE-2016-7892,Adobe,Flash Player,Adobe Flash Player Use-After-Free Vulnerability
CVE-2016-4171,Adobe,Flash Player,Adobe Flash Player Remote Code Execution Vulnerability
CVE-2014-6332,Microsoft,Windows,Microsoft Windows Object Linking & Embedding (OLE) Automation Array Remote Code Execution Vulnerability
CVE-2014-6324,Microsoft,Kerberos Key Distribution Center (KDC),Microsoft Kerberos Key Distribution Center (KDC) Privilege Escalation Vulnerability
CVE-2013-2251,Apache,Struts,Apache Struts Improper Input Validation Vulnerability
CVE-2010-2861,Adobe,ColdFusion,Adobe ColdFusion Directory Traversal Vulnerability
CVE-2009-0927,Adobe,Reader and Acrobat,Adobe Reader and Adobe Acrobat Stack-Based Buffer Overflow Vulnerability
CVE-2022-1096,Google,Chromium V8,Google Chromium V8 Type Confusion Vulnerability
CVE-2021-38646,Microsoft,Office,Microsoft Office Access Connectivity Engine Remote Code Execution Vulnerability
CVE-2021-34486,Microsoft,Windows,Microsoft Windows Event Tracing Privilege Escalation Vulnerability
CVE-2018-8440,Microsoft,Windows,Microsoft Windows Privilege Escalation Vulnerability
CVE-2018-8406,Microsoft,DirectX Graphics Kernel (DXGKRNL),Microsoft DirectX Graphics Kernel Privilege Escalation Vulnerability
CVE-2018-8405,Microsoft,DirectX Graphics Kernel (DXGKRNL),Microsoft DirectX Graphics Kernel Privilege Escalation Vulnerability
CVE-2017-0213,Microsoft,Windows,Microsoft Windows Privilege Escalation Vulnerability
CVE-2017-0059,Microsoft,Internet Explorer,Microsoft Internet Explorer Information Disclosure Vulnerability
CVE-2017-0037,Microsoft,Edge and Internet Explorer,Microsoft Edge and Internet Explorer Type Confusion Vulnerability
CVE-2016-7201,Microsoft,Edge,Microsoft Edge Memory Corruption Vulnerability
CVE-2016-7200,Microsoft,Edge,Microsoft Edge Memory Corruption Vulnerability
CVE-2016-0189,Microsoft,Internet Explorer,Microsoft Internet Explorer Memory Corruption Vulnerability
CVE-2016-0151,Microsoft,Client-Server Run-time Subsystem (CSRSS),Microsoft Windows CSRSS Security Feature Bypass Vulnerability
CVE-2016-0040,Microsoft,Windows,Microsoft Windows Kernel Privilege Escalation Vulnerability
CVE-2015-2426,Microsoft,Windows,Microsoft Windows Adobe Type Manager Library Remote Code Execution Vulnerability
CVE-2015-2419,Microsoft,Internet Explorer,Microsoft Internet Explorer Memory Corruption Vulnerability
CVE-2015-1770,Microsoft,Office,Microsoft Office Uninitialized Memory Use Vulnerability
CVE-2013-3660,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability
CVE-2013-2729,Adobe,Reader and Acrobat,Adobe Reader and Acrobat Arbitrary Integer Overflow Vulnerability
CVE-2013-2551,Microsoft,Internet Explorer,Microsoft Internet Explorer Use-After-Free Vulnerability
